time,iso,ts,device_name,dev_eui,device_profile_name,site,sensor_latitude,sensor_longitude,sensor_altitude,sensor_geojson,temperature_c,humidity,battery_v
2026-03-27T00:10:28.797337+00:00,2026-03-27T00:10:29.022Z,1774570229023.0,LST25502641,a8404142118523b1,LSN50v2-S31,Outside Shed,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",13.1,71.6,3.664
2026-03-27T00:14:35.650303+00:00,2026-03-27T00:14:35.873Z,1774570475874.0,LST25502626,ab4041cd218523a2,LSN50v2-S31,Top Paddock,-38.6958,143.775,165.0,"{""type"": ""Point"", ""coordinates"": [143.775, -38.6958, 165.0]}",12.7,72.1,3.661
2026-03-27T00:30:28.799701+00:00,2026-03-27T00:30:29.026Z,1774571429026.0,LST25502641,a8404142118523b1,LSN50v2-S31,Outside Shed,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",13.7,66.1,3.664
2026-03-27T00:34:35.643453+00:00,2026-03-27T00:34:35.866Z,1774571675866.0,LST25502626,ab4041cd218523a2,LSN50v2-S31,Top Paddock,-38.6958,143.775,165.0,"{""type"": ""Point"", ""coordinates"": [143.775, -38.6958, 165.0]}",12.7,66.9,3.661
2026-03-27T00:35:51.482747+00:00,2026-03-27T00:35:51.705Z,1774571751705.0,LST25502625,a84041e2a18523a1,LSN50v2-S31,Top Gate,-38.6958,143.7723,181.0,"{""type"": ""Point"", ""coordinates"": [143.7723, -38.6958, 181.0]}",12.4,62.6,3.662
2026-03-27T00:50:28.800401+00:00,2026-03-27T00:50:29.023Z,1774572629023.0,LST25502641,a8404142118523b1,LSN50v2-S31,Outside Shed,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",13.8,62.2,3.664
2026-03-27T00:54:35.634129+00:00,2026-03-27T00:54:35.855Z,1774572875855.0,LST25502626,ab4041cd218523a2,LSN50v2-S31,Top Paddock,-38.6958,143.775,165.0,"{""type"": ""Point"", ""coordinates"": [143.775, -38.6958, 165.0]}",12.7,63.3,3.661
2026-03-27T01:10:28.797075+00:00,2026-03-27T01:10:29.022Z,1774573829022.0,LST25502641,a8404142118523b1,LSN50v2-S31,Outside Shed,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",15.2,58.8,3.664
2026-03-27T01:14:35.624365+00:00,2026-03-27T01:14:35.847Z,1774574075848.0,LST25502626,ab4041cd218523a2,LSN50v2-S31,Top Paddock,-38.6958,143.775,165.0,"{""type"": ""Point"", ""coordinates"": [143.775, -38.6958, 165.0]}",13.1,66.4,3.661
2026-03-27T01:30:28.795598+00:00,2026-03-27T01:30:29.020Z,1774575029021.0,LST25502641,a8404142118523b1,LSN50v2-S31,Outside Shed,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",14.7,61.8,3.664
