time,iso,ts,device_name,dev_eui,device_profile_name,site,sensor_latitude,sensor_longitude,sensor_altitude,sensor_geojson,tank_distance,tank_battery_v,tank_temp_c
2026-03-27T00:00:16.335144+00:00,2026-03-27T00:00:16.561Z,1774569616561.0,LA666277834,a84041fba55fcaca,DDS75,Tank1,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.996,327.6
2026-03-27T00:07:52.190063+00:00,2026-03-27T00:07:52.413Z,1774570072414.0,LA66N721745,a840411ca1887b91,DDS75,Tank3,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.327,327.6
2026-03-27T00:20:16.083083+00:00,2026-03-27T00:20:16.313Z,1774570816313.0,LA666277834,a84041fba55fcaca,DDS75,Tank1,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,4.002,327.6
2026-03-27T00:27:51.897770+00:00,2026-03-27T00:27:52.120Z,1774571272120.0,LA66N721745,a840411ca1887b91,DDS75,Tank3,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.327,327.6
2026-03-27T00:30:04.180259+00:00,2026-03-27T00:30:04.402Z,1774571404402.0,LA666277837,a840414c305fcacd,DDS75,Tank2,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",503.0,3.81,327.6
2026-03-27T00:40:15.831611+00:00,2026-03-27T00:40:16.056Z,1774572016056.0,LA666277834,a84041fba55fcaca,DDS75,Tank1,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.996,327.6
2026-03-27T00:47:51.597117+00:00,2026-03-27T00:47:51.817Z,1774572471817.0,LA66N721745,a840411ca1887b91,DDS75,Tank3,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.327,327.6
2026-03-27T00:50:03.928572+00:00,2026-03-27T00:50:04.149Z,1774572604150.0,LA666277837,a840414c305fcacd,DDS75,Tank2,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",503.0,3.81,327.6
2026-03-27T01:00:15.578119+00:00,2026-03-27T01:00:15.801Z,1774573215801.0,LA666277834,a84041fba55fcaca,DDS75,Tank1,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.996,327.6
2026-03-27T01:07:51.301477+00:00,2026-03-27T01:07:51.524Z,1774573671524.0,LA66N721745,a840411ca1887b91,DDS75,Tank3,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.327,327.6
2026-03-27T01:20:15.326324+00:00,2026-03-27T01:20:15.551Z,1774574415551.0,LA666277834,a84041fba55fcaca,DDS75,Tank1,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.996,327.6
2026-03-27T01:27:51.016892+00:00,2026-03-27T01:27:51.240Z,1774574871241.0,LA66N721745,a840411ca1887b91,DDS75,Tank3,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}",0.0,3.327,327.6
