mongo_id,time,iso,ts,topic,deduplication_id,tenant_name,application_name,device_profile_name,device_name,dev_eui,device_class,dev_addr,f_cnt,f_port,confirmed,adr,dr,region_config_id,raw_object_json,site,sensor_latitude,sensor_longitude,sensor_altitude,raw_tags_json,gateway_id,rssi,snr,temperature_c,humidity,battery_v,door_status,adc_ch0v,digital_status,work_mode,raw_tempc1,raw_tempc_sht,raw_hum_sht,tank_air_gap_mm,tank_air_gap_m,tank_distance,tank_battery_v,tank_temp_c,interrupt_flag,sensor_flag,air_temperature,air_humidity,light_intensity,uv_index,wind_speed,wind_direction,rain_gauge,rain_accumulation,pressure,wind_gust,sensecap_payload_valid,sensecap_payload_hex,sensecap_err
69fc37a84799c2c468208f4f,2026-05-07T06:56:39.915610+00:00,2026-05-07T06:56:40.155Z,1778137000155.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/2cf7f127325000dc/event/up,30414e7e-8781-4404-99bb-5774589bd11a,ChirpStack,monitoring,SenseCAP Wireless Barometric Pressure Sensor - LoRaWAN®,1000241,2cf7f127325000dc,CLASS_A,00016dcf,1022.0,2.0,True,True,2.0,au915_0,"{""payload"": ""010510004CF9057A60"", ""valid"": true, ""err"": 0, ""messages"": [{""measurementValue"": 100224, ""type"": ""report_telemetry"", ""measurementId"": 4101}]}",Barometer,-38.6955,143.7737,171.0,"{""lat"": ""-38.6955"", ""lon"": ""143.7737"", ""alt"": ""171.0"", ""site"": ""Barometer"", ""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7737,-38.6955,171.0]}""}",a84041ffff26623c,-114.0,-17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69fc70854799c2c468208f7e,2026-05-07T10:59:17.222274+00:00,2026-05-07T10:59:17.463Z,1778151557463.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/2cf7f127325000dc/event/up,e92e779c-e762-49aa-8939-8118b5a82d69,ChirpStack,monitoring,SenseCAP Wireless Barometric Pressure Sensor - LoRaWAN®,1000241,2cf7f127325000dc,CLASS_A,00016dcf,1035.0,2.0,True,True,2.0,au915_0,"{""payload"": ""0105105098F805DA40"", ""messages"": [{""measurementValue"": 100178, ""measurementId"": 4101, ""type"": ""report_telemetry""}], ""err"": 0, ""valid"": true}",Barometer,-38.6955,143.7737,171.0,"{""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7737,-38.6955,171.0]}"", ""site"": ""Barometer"", ""lon"": ""143.7737"", ""lat"": ""-38.6955"", ""alt"": ""171.0""}",a84041ffff26623c,-114.0,-16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69fc70914799c2c468208f7f,2026-05-07T10:59:29.029887+00:00,2026-05-07T10:59:29.271Z,1778151569272.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/2cf7f127325000dc/event/up,2a35003f-d349-4c23-8041-88e78e9ed27b,ChirpStack,monitoring,SenseCAP Wireless Barometric Pressure Sensor - LoRaWAN®,1000241,2cf7f127325000dc,CLASS_A,00016dcf,1036.0,2.0,False,True,2.0,au915_0,"{""messages"": [{""measurementId"": 4101, ""measurementValue"": 100178, ""type"": ""report_telemetry""}], ""payload"": ""0105105098F805DA40"", ""err"": 0, ""valid"": true}",Barometer,-38.6955,143.7737,171.0,"{""lat"": ""-38.6955"", ""lon"": ""143.7737"", ""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7737,-38.6955,171.0]}"", ""site"": ""Barometer"", ""alt"": ""171.0""}",a84041ffff26623c,-115.0,-17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69fce2534799c2c468208fe3,2026-05-07T19:04:51.129487+00:00,2026-05-07T19:04:51.340Z,1778180691340.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/2cf7f127325000dc/event/up,bbc332b6-07b8-45e2-8235-e9395cc2f6d9,ChirpStack,monitoring,SenseCAP Wireless Barometric Pressure Sensor - LoRaWAN®,1000241,2cf7f127325000dc,CLASS_A,00016dcf,1060.0,2.0,False,True,2.0,au915_0,"{""messages"": [{""measurementValue"": 100096, ""type"": ""report_telemetry"", ""measurementId"": 4101}], ""err"": 0, ""payload"": ""0105100058F7059E1C"", ""valid"": true}",Barometer,-38.6955,143.7737,171.0,"{""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7737,-38.6955,171.0]}"", ""lat"": ""-38.6955"", ""lon"": ""143.7737"", ""alt"": ""171.0"", ""site"": ""Barometer""}",a84041ffff26623c,-115.0,-17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69fdc5c64799c2c468209086,2026-05-08T11:15:18.165983+00:00,2026-05-08T11:15:18.408Z,1778238918408.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/2cf7f127325000dc/event/up,b8a8d922-116d-42d0-bf68-57156d257e8f,ChirpStack,monitoring,SenseCAP Wireless Barometric Pressure Sensor - LoRaWAN®,1000241,2cf7f127325000dc,CLASS_A,00016dcf,1108.0,2.0,False,True,2.0,au915_0,"{""valid"": true, ""messages"": [{""measurementValue"": 100719, ""type"": ""report_telemetry"", ""measurementId"": 4101}], ""err"": 0, ""payload"": ""01051098D900062242""}",Barometer,-38.6955,143.7737,171.0,"{""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7737,-38.6955,171.0]}"", ""alt"": ""171.0"", ""site"": ""Barometer"", ""lat"": ""-38.6955"", ""lon"": ""143.7737""}",a84041ffff26623c,-115.0,-17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69fde2264799c2c46820909b,2026-05-08T13:16:21.859583+00:00,2026-05-08T13:16:22.058Z,1778246182058.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/2cf7f127325000dc/event/up,ff1f5306-beed-4135-a693-9c45e76872ac,ChirpStack,monitoring,SenseCAP Wireless Barometric Pressure Sensor - LoRaWAN®,1000241,2cf7f127325000dc,CLASS_A,00016dcf,1113.0,2.0,True,True,2.0,au915_0,"{""messages"": [{""type"": ""report_telemetry"", ""measurementValue"": 100715, ""measurementId"": 4101}], ""valid"": true, ""payload"": ""010510F8C90006535E"", ""err"": 0}",Barometer,-38.6955,143.7737,171.0,"{""site"": ""Barometer"", ""lat"": ""-38.6955"", ""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7737,-38.6955,171.0]}"", ""alt"": ""171.0"", ""lon"": ""143.7737""}",a84041ffff26623c,-115.0,-16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a009a9429c3f904d3911169,2026-05-10T14:47:48.326302+00:00,2026-05-10T14:47:48.549Z,1778424468549.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/2cf7f127325000dc/event/up,72c8d82a-b6ec-4d20-969e-86d29076ba46,ChirpStack,monitoring,SenseCAP Wireless Barometric Pressure Sensor - LoRaWAN®,1000241,2cf7f127325000dc,CLASS_A,00016dcf,1259.0,2.0,True,True,0.0,au915_0,"{""err"": 0, ""messages"": [{""measurementId"": 4101, ""measurementValue"": 101318, ""type"": ""report_telemetry""}], ""payload"": ""01051070FD090632A4"", ""valid"": true}",Barometer,-38.6955,143.7737,171.0,"{""site"": ""Barometer"", ""alt"": ""171.0"", ""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7737,-38.6955,171.0]}"", ""lon"": ""143.7737"", ""lat"": ""-38.6955""}",a84041ffff26623c,-114.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69f7fbe203aef704c9496800,2026-05-04T01:52:34.578616+00:00,2026-05-04T01:52:34.816Z,1777859554816.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/2cf7f1c073400187/event/up,0722995e-8216-4c3a-a34e-76e2370f9d84,ChirpStack,monitoring,SenseCAP S2120,1254000489,2cf7f1c073400187,CLASS_A,002968a6,432.0,3.0,True,True,5.0,au915_0,"{""payload"": ""4A00934800004AA40A00004B005A0000000026914C002A000180F8"", ""messages"": [[{""measurementValue"": 14.7, ""type"": ""Air Temperature"", ""measurementId"": ""4097""}, {""measurementId"": ""4098"", ""type"": ""Air Humidity"", ""measurementValue"": 72}, {""measurementValue"": 19108, ""measurementId"": ""4099"", ""type"": ""Light Intensity""}, {""type"": ""UV Index"", ""measurementValue"": 1, ""measurementId"": ""4190""}, {""measurementValue"": 0, ""measurementId"": ""4105"", ""type"": ""Wind Speed""}], [{""measurementValue"": 90, ""measurementId"": ""4104"", ""type"": ""Wind Direction Sensor""}, {""measurementId"": ""4113"", ""type"": ""Rain Gauge"", ""measurementValue"": 0}, {""measurementId"": ""4101"", ""measurementValue"": 98730, ""type"": ""Barometric Pressure""}], [{""measurementValue"": 4.2, ""measurementId"": ""4191"", ""type"": ""Peak Wind Gust""}, {""measurementId"": ""4213"", ""type"": ""Rain Accumulation"", ""measurementValue"": 98.552}]], ""valid"": true, ""err"": 0}",Weather Station,-38.6958,143.7734,168.0,"{""lat"": ""-38.6958"", ""lon"": ""143.7734"", ""site"": ""Weather Station"", ""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7734,-38.6958,168]}"", ""alt"": ""168.0"", ""location_updated_at"": ""2026-05-07T05:06:50.569Z""}",a84041ffff26623c,-69.0,9.5,,,,,,,,,,,,,,,,,,14.7,72.0,19108.0,1.0,0.0,90.0,0.0,98.552,98730.0,4.2,True,4A00934800004AA40A00004B005A0000000026914C002A000180F8,0.0
69f809f203aef704c949680b,2026-05-04T02:52:34.671833+00:00,2026-05-04T02:52:34.875Z,1777863154875.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/2cf7f1c073400187/event/up,2e08e3e2-a78d-4b91-a3a6-8e392b93750d,ChirpStack,monitoring,SenseCAP S2120,1254000489,2cf7f1c073400187,CLASS_A,002968a6,433.0,3.0,True,True,5.0,au915_0,"{""messages"": [[{""measurementId"": ""4097"", ""type"": ""Air Temperature"", ""measurementValue"": 15.1}, {""measurementValue"": 72, ""type"": ""Air Humidity"", ""measurementId"": ""4098""}, {""type"": ""Light Intensity"", ""measurementValue"": 9044, ""measurementId"": ""4099""}, {""measurementValue"": 1, ""measurementId"": ""4190"", ""type"": ""UV Index""}, {""measurementValue"": 1.6, ""type"": ""Wind Speed"", ""measurementId"": ""4105""}], [{""type"": ""Wind Direction Sensor"", ""measurementValue"": 138, ""measurementId"": ""4104""}, {""type"": ""Rain Gauge"", ""measurementValue"": 0, ""measurementId"": ""4113""}, {""measurementId"": ""4101"", ""measurementValue"": 98660, ""type"": ""Barometric Pressure""}], [{""measurementValue"": 4.6, ""measurementId"": ""4191"", ""type"": ""Peak Wind Gust""}, {""measurementId"": ""4213"", ""type"": ""Rain Accumulation"", ""measurementValue"": 98.552}]], ""err"": 0, ""payload"": ""4A009748000023540A00104B008A00000000268A4C002E000180F8"", ""valid"": true}",Weather Station,-38.6958,143.7734,168.0,"{""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7734,-38.6958,168]}"", ""lon"": ""143.7734"", ""site"": ""Weather Station"", ""lat"": ""-38.6958"", ""alt"": ""168.0"", ""location_updated_at"": ""2026-05-07T05:06:50.569Z""}",a84041ffff26623c,-73.0,15.2,,,,,,,,,,,,,,,,,,15.1,72.0,9044.0,1.0,1.6,138.0,0.0,98.552,98660.0,4.6,True,4A009748000023540A00104B008A00000000268A4C002E000180F8,0.0
69f8180303aef704c9496815,2026-05-04T03:52:34.777893+00:00,2026-05-04T03:52:35.021Z,1777866755021.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/2cf7f1c073400187/event/up,35d0e749-f02b-42b4-bcf8-1601cb5cb8d1,ChirpStack,monitoring,SenseCAP S2120,1254000489,2cf7f1c073400187,CLASS_A,002968a6,434.0,3.0,True,True,5.0,au915_0,"{""payload"": ""4A009C45000034970D00134B004C0000000026854C0029000180F8"", ""messages"": [[{""type"": ""Air Temperature"", ""measurementValue"": 15.6, ""measurementId"": ""4097""}, {""measurementValue"": 69, ""measurementId"": ""4098"", ""type"": ""Air Humidity""}, {""measurementId"": ""4099"", ""type"": ""Light Intensity"", ""measurementValue"": 13463}, {""measurementValue"": 1.3, ""measurementId"": ""4190"", ""type"": ""UV Index""}, {""type"": ""Wind Speed"", ""measurementId"": ""4105"", ""measurementValue"": 1.9}], [{""type"": ""Wind Direction Sensor"", ""measurementId"": ""4104"", ""measurementValue"": 76}, {""type"": ""Rain Gauge"", ""measurementId"": ""4113"", ""measurementValue"": 0}, {""type"": ""Barometric Pressure"", ""measurementValue"": 98610, ""measurementId"": ""4101""}], [{""type"": ""Peak Wind Gust"", ""measurementId"": ""4191"", ""measurementValue"": 4.1}, {""type"": ""Rain Accumulation"", ""measurementValue"": 98.552, ""measurementId"": ""4213""}]], ""valid"": true, ""err"": 0}",Weather Station,-38.6958,143.7734,168.0,"{""lon"": ""143.7734"", ""lat"": ""-38.6958"", ""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7734,-38.6958,168]}"", ""site"": ""Weather Station"", ""alt"": ""168.0"", ""location_updated_at"": ""2026-05-07T05:06:50.569Z""}",a84041ffff26623c,-72.0,15.8,,,,,,,,,,,,,,,,,,15.6,69.0,13463.0,1.3,1.9,76.0,0.0,98.552,98610.0,4.1,True,4A009C45000034970D00134B004C0000000026854C0029000180F8,0.0
