mongo_id,time,iso,ts,topic,deduplication_id,tenant_name,application_name,device_profile_name,device_name,dev_eui,device_class,dev_addr,f_cnt,f_port,confirmed,adr,dr,region_config_id,raw_object_json,site,sensor_latitude,sensor_longitude,sensor_altitude,sensor_geojson,raw_tags_json,gateway_id,gateway_latitude,gateway_longitude,gateway_altitude,gateway_geojson,rssi,snr,temperature_c,humidity,battery_v,door_status,adc_ch0v,digital_status,work_mode,raw_tempc1,raw_tempc_sht,raw_hum_sht,tank_air_gap_mm,tank_air_gap_m,tank_distance,tank_battery_v,tank_temp_c,interrupt_flag,sensor_flag,raw_distance,raw_tank_object_json,air_temperature,air_humidity,light_intensity,uv_index,wind_speed,wind_direction,rain_gauge,rain_accumulation,pressure,wind_gust,sensecap_payload_valid,sensecap_payload_hex,sensecap_err
6a012c7e29c3f904d39111f0,2026-05-11T01:10:21.788290+00:00,2026-05-11T01:10:22.035Z,1778461822035.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/a840419f918523a7/event/up,71cb70dd-f6ca-4b15-b197-8c2713eccf12,ChirpStack,monitoring,LSN50v2-S31,LST25502631,a840419f918523a7,CLASS_A,01e453a1,50079,2,False,True,2,au915_0,"{""ADC_CH0V"": 0.554, ""EXTI_Trigger"": ""FALSE"", ""TempC1"": 0, ""Door_status"": ""OPEN"", ""Work_mode"": ""IIC"", ""TempC_SHT"": 11.3, ""Hum_SHT"": 100, ""Digital_IStatus"": ""L"", ""BatV"": 3.648}",Gully,-38.6949,143.7737,179.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6949, 179.0]}","{""alt"": ""179.0"", ""lat"": ""-38.6949"", ""site"": ""Gully"", ""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7737,-38.6949,179.0]}"", ""lon"": ""143.7737""}",a84041ffff26623c,-38.69578,143.77339,161.0,"{""type"": ""Point"", ""coordinates"": [143.77339, -38.69578, 161.0]}",-114,-4.0,11.3,100.0,3.648,OPEN,0.554,L,IIC,0.0,11.3,100.0,,,,,,,,,,,,,,,,,,,,,,
6a012b4829c3f904d39111ef,2026-05-11T01:06:11.390+00:00,2026-05-11T01:05:12.139Z,1778461512140.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/00137a100004579c/event/up,4d80aeb2-36da-4f6a-b77b-a0bc6c06d1ad,ChirpStack,monitoring,R711 - Wireless Temperature and Humidity Sensor,R71104579C,00137a100004579c,CLASS_A,01c3adaf,861,6,False,True,0,au915_0,"{""Volt"": 3.1, ""Temp"": 21.21, ""Device"": ""R711(R712)"", ""Humi"": 54.47}",Inside House,-38.6957,143.7733,171.0,"{""type"": ""Point"", ""coordinates"": [143.7733, -38.6957, 171.0]}","{""alt"": ""171.0"", ""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7733,-38.6957,171.0]}"", ""lon"": ""143.7733"", ""lat"": ""-38.6957"", ""site"": ""Inside House""}",b827ebfffe46b14f,-38.15522466666667,144.36658016666667,24.0,"{""type"": ""Point"", ""coordinates"": [144.36658016666667, -38.15522466666667, 24.0]}",-81,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a01292429c3f904d39111ee,2026-05-11T00:56:04.021755+00:00,2026-05-11T00:56:04.269Z,1778460964270.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/a84041e2a18523a1/event/up,2f309094-41f8-423c-9e63-2a8805bec2d2,ChirpStack,monitoring,LSN50v2-S31,LST25502625,a84041e2a18523a1,CLASS_A,019dddaa,50076,2,False,True,2,au915_0,"{""Digital_IStatus"": ""L"", ""BatV"": 3.657, ""Door_status"": ""OPEN"", ""Work_mode"": ""IIC"", ""TempC_SHT"": 13.9, ""Hum_SHT"": 83.2, ""EXTI_Trigger"": ""FALSE"", ""ADC_CH0V"": 0.297, ""TempC1"": 0}",Top Gate,-38.6958,143.7723,181.0,"{""type"": ""Point"", ""coordinates"": [143.7723, -38.6958, 181.0]}","{""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7723,-38.6958,181.0]}"", ""lon"": ""143.7723"", ""lat"": ""-38.6958"", ""site"": ""Top Gate"", ""alt"": ""181.0""}",a84041ffff26623c,-38.69569,143.77361,173.0,"{""type"": ""Point"", ""coordinates"": [143.77361, -38.69569, 173.0]}",-99,10.5,13.9,83.2,3.657,OPEN,0.297,L,IIC,0.0,13.9,83.2,,,,,,,,,,,,,,,,,,,,,,
6a0128ae29c3f904d39111ed,2026-05-11T00:54:06.433368+00:00,2026-05-11T00:54:06.678Z,1778460846679.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/ab4041cd218523a2/event/up,b45a9518-0366-4f57-aa2c-0e0884f2130f,ChirpStack,monitoring,LSN50v2-S31,LST25502626,ab4041cd218523a2,CLASS_A,01b972d1,50078,2,False,True,2,au915_0,"{""Digital_IStatus"": ""L"", ""TempC1"": 0, ""ADC_CH0V"": 0.303, ""BatV"": 3.661, ""Door_status"": ""OPEN"", ""Work_mode"": ""IIC"", ""EXTI_Trigger"": ""FALSE"", ""TempC_SHT"": 13.4, ""Hum_SHT"": 85.3}",Top Paddock,-38.6958,143.775,165.0,"{""type"": ""Point"", ""coordinates"": [143.775, -38.6958, 165.0]}","{""site"": ""Top Paddock"", ""alt"": ""165.0"", ""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.775,-38.6958,165.0]}"", ""lat"": ""-38.6958"", ""lon"": ""143.775""}",a84041ffff26623c,-38.69573,143.77363,173.0,"{""type"": ""Point"", ""coordinates"": [143.77363, -38.69573, 173.0]}",-80,-2.0,13.4,85.3,3.661,OPEN,0.303,L,IIC,0.0,13.4,85.3,,,,,,,,,,,,,,,,,,,,,,
6a0127db29c3f904d39111ec,2026-05-11T00:50:35.440439+00:00,2026-05-11T00:50:35.686Z,1778460635686.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/a8404142118523b1/event/up,88dfb699-2563-4049-8ba9-0cef595fa3b6,ChirpStack,monitoring,LSN50v2-S31,LST25502641,a8404142118523b1,CLASS_A,01eeaa71,50078,2,False,True,2,au915_0,"{""TempC1"": 0, ""Digital_IStatus"": ""L"", ""Door_status"": ""OPEN"", ""TempC_SHT"": 16.8, ""BatV"": 3.694, ""EXTI_Trigger"": ""FALSE"", ""ADC_CH0V"": 0.577, ""Work_mode"": ""IIC"", ""Hum_SHT"": 82.4}",Outside Shed,-38.6956,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6956, 171.0]}","{""alt"": ""171.0"", ""lon"": ""143.7737"", ""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7737,-38.6956,171.0]}"", ""site"": ""Outside Shed"", ""lat"": ""-38.6956""}",a84041ffff26623c,-38.69568,143.77364,177.0,"{""type"": ""Point"", ""coordinates"": [143.77364, -38.69568, 177.0]}",-79,1.5,16.8,82.4,3.694,OPEN,0.577,L,IIC,0.0,16.8,82.4,,,,,,,,,,,,,,,,,,,,,,
6a0124a329c3f904d39111ea,2026-05-11T00:36:51.676005+00:00,2026-05-11T00:36:51.922Z,1778459811922.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/2cf7f1c073400187/event/up,e2573163-dfaa-49cb-b292-eb2268e9feba,ChirpStack,monitoring,SenseCAP S2120,1254000489,2cf7f1c073400187,CLASS_A,0098cf41,180,3,True,True,5,au915_0,"{""messages"": [[{""measurementId"": ""4097"", ""type"": ""Air Temperature"", ""measurementValue"": 13}, {""measurementValue"": 82, ""type"": ""Air Humidity"", ""measurementId"": ""4098""}, {""type"": ""Light Intensity"", ""measurementValue"": 11131, ""measurementId"": ""4099""}, {""type"": ""UV Index"", ""measurementId"": ""4190"", ""measurementValue"": 1.3}, {""measurementValue"": 0, ""measurementId"": ""4105"", ""type"": ""Wind Speed""}], [{""measurementValue"": 216, ""measurementId"": ""4104"", ""type"": ""Wind Direction Sensor""}, {""measurementId"": ""4113"", ""type"": ""Rain Gauge"", ""measurementValue"": 0}, {""type"": ""Barometric Pressure"", ""measurementId"": ""4101"", ""measurementValue"": 101360}], [{""type"": ""Peak Wind Gust"", ""measurementValue"": 2, ""measurementId"": ""4191""}, {""measurementId"": ""4213"", ""measurementValue"": 135.89, ""type"": ""Rain Accumulation""}]], ""err"": 0, ""valid"": true, ""payload"": ""4A00825200002B7B0D00004B00D80000000027984C0014000212D2""}",Weather Station,-38.6958,143.7734,168.0,"{""type"": ""Point"", ""coordinates"": [143.7734, -38.6958, 168.0]}","{""lat"": ""-38.6958"", ""lon"": ""143.7734"", ""site"": ""Weather Station"", ""alt"": ""168.0"", ""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7734,-38.6958,168.0]}""}",a84041ffff26623c,-38.6957,143.77353,171.0,"{""type"": ""Point"", ""coordinates"": [143.77353, -38.6957, 171.0]}",-67,14.8,,,,,,,,,,,,,,,,,,,,13.0,82.0,11131.0,1.3,0.0,216.0,0.0,135.89,101360.0,2.0,True,4A00825200002B7B0D00004B00D80000000027984C0014000212D2,0.0
6a009a9429c3f904d3911169,2026-05-10T14:47:48.326302+00:00,2026-05-10T14:47:48.549Z,1778424468549.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/2cf7f127325000dc/event/up,72c8d82a-b6ec-4d20-969e-86d29076ba46,ChirpStack,monitoring,SenseCAP Wireless Barometric Pressure Sensor - LoRaWAN®,1000241,2cf7f127325000dc,CLASS_A,00016dcf,1259,2,True,True,0,au915_0,"{""err"": 0, ""messages"": [{""measurementId"": 4101, ""measurementValue"": 101318, ""type"": ""report_telemetry""}], ""payload"": ""01051070FD090632A4"", ""valid"": true}",Barometer,-38.6955,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6955, 171.0]}","{""site"": ""Barometer"", ""alt"": ""171.0"", ""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7737,-38.6955,171.0]}"", ""lon"": ""143.7737"", ""lat"": ""-38.6955""}",a84041ffff26623c,-38.6957,143.77352,167.0,"{""type"": ""Point"", ""coordinates"": [143.77352, -38.6957, 167.0]}",-114,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69d8222f9df0814089b440b1,2026-04-09T22:03:27.465855+00:00,2026-04-09T22:03:27.697Z,1775772207697.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/a840411ca1887b91/event/up,bdc08344-bac6-4d2c-8070-e89dab5a23d6,ChirpStack,monitoring,LDDS75-AU915_1,LA66N721745,a840411ca1887b91,CLASS_A,019dd9b5,206,2,False,True,5,au915_0,"{""distance"": ""No Sensor""}",Tank3,-38.6957,143.7737,171.0,"{""type"": ""Point"", ""coordinates"": [143.7737, -38.6957, 171]}","{""alt"": ""171.0"", ""lon"": ""143.7737"", ""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7737,-38.6957,171]}"", ""lat"": ""-38.6957"", ""site"": ""Tank3"", ""location_updated_at"": ""2026-05-07T05:06:15.095Z""}",a84041ffff26623c,-38.6919,143.76234,-1001.0,"{""type"": ""Point"", ""coordinates"": [143.76234, -38.6919, -1001.0]}",-51,8.5,,,,,,,,,,,,,,,,,,,"{""distance"": ""No Sensor""}",,,,,,,,,,,,,
69d821469df0814089b440b0,2026-04-09T21:59:33.920055+00:00,2026-04-09T21:59:34.146Z,1775771974146.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/a84041675186988f/event/up,ea3f6022-33ae-46aa-9711-3b0d8642ed56,ChirpStack,monitoring,LSN50-V2,LST25598095,a84041675186988f,CLASS_A,00a0fd5c,43980,2,False,True,5,au915_0,"{""TempC_SHT"": -0.1, ""Hum_SHT"": 6553.5, ""BatV"": 3.667, ""TempC1"": 16.9, ""EXTI_Trigger"": ""FALSE"", ""Digital_IStatus"": ""L"", ""ADC_CH0V"": 0.058, ""Work_mode"": ""IIC"", ""Door_status"": ""OPEN""}",Inside Shed,-38.6955,143.7735,171.0,"{""type"": ""Point"", ""coordinates"": [143.7735, -38.6955, 171]}","{""lon"": ""143.7735"", ""site"": ""Inside Shed"", ""lat"": ""-38.6955"", ""alt"": ""171.0"", ""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7735,-38.6955,171]}"", ""location_updated_at"": ""2026-05-07T05:06:33.158Z""}",a84041ffff26623c,-38.6919,143.76234,-1001.0,"{""type"": ""Point"", ""coordinates"": [143.76234, -38.6919, -1001.0]}",-89,13.2,16.9,,3.667,OPEN,0.058,L,IIC,16.9,-0.1,6553.5,,,,,,,,,,,,,,,,,,,,,,
69d820ae9df0814089b440af,2026-04-09T21:57:02.262319+00:00,2026-04-09T21:57:02.488Z,1775771822489.0,application/3a8594c3-7866-4007-9786-b5ec52b2d117/device/a84041fba55fcaca/event/up,31d43713-0edb-45d6-b799-7f0981dafe28,ChirpStack,monitoring,LDDS75-AU915_1,LA666277834,a84041fba55fcaca,CLASS_A,01687aed,203,2,False,True,5,au915_0,"{""distance"": ""No Sensor""}",Tank1,-38.6951,143.7728,171.0,"{""type"": ""Point"", ""coordinates"": [143.7728, -38.6951, 171]}","{""site"": ""Tank1"", ""lon"": ""143.7728"", ""geojson"": ""{\""type\"":\""Point\"",\""coordinates\"":[143.7728,-38.6951,171]}"", ""lat"": ""-38.6951"", ""alt"": ""171.0"", ""location_updated_at"": ""2026-05-07T05:06:11.078Z""}",a84041ffff26623c,-38.6919,143.76234,-1001.0,"{""type"": ""Point"", ""coordinates"": [143.76234, -38.6919, -1001.0]}",-69,13.5,,,,,,,,,,,,,,,,,,,"{""distance"": ""No Sensor""}",,,,,,,,,,,,,
